품목명,현재재고,매입단가,재고평가액,매입업체,기초재고,기준일자,안전재고,단위
Z세라믹 절단석 @ 5인치,25489,6453.0,164480517.0,(주)수보,34939,2026-09-04,100,개
Z세라믹 절단석 @ 4인치,28000,13323.0,373044000.0,(주)수보,29300,2026-09-04,100,개
TURBO Premium 절단석 @ 5인치,-1480,314.0,-464720.0,유명철물종합상사,24220,2026-09-04,100,개
터보 프리미엄절단석 @5인치,19200,316.0,6067200.0,(주)수보,23950,2026-09-04,100,개
터보Primium소프트절단석@5인치,49200,351.0,17269200.0,(주)수보,23850,2026-09-04,100,개
터보 Premium 절단석 @ 5인치,21800,360.0,7848000.0,삼환,22600,2026-09-04,100,개
"아카시 절단석 프리미엄 @ 5""*16MM",22803,650.0,14821950.0,대광교역,18803,2026-09-04,100,개
OPP무지,16000,7.0,112000.0,혜림화학,16000,2026-09-04,100,개
"아카시 절단석 프리미엄 @ 4""*16MM",8100,1000.0,8100000.0,박재환,15800,2026-09-04,100,개
TURBO Premium 절단석 @ 4인치,2970,348.0,1033560.0,(주)수보,14970,2026-09-04,100,개
"벨로체절단석 @ 5""",12425,294.0,3652950.0,삼환,12825,2026-09-04,100,개
터보 Premium 절단석 @ 4인치,8850,290.0,2566500.0,삼환,9350,2026-09-04,100,개
3MRO 덴탈 블랙마스크,8700,65.0,565500.0,지케이에스,8700,2026-09-04,100,개
"다이센 소프트타입 @ 4""",5150,350.0,1802500.0,유영찬,5850,2026-09-04,100,개
에이스 KF94마스크,0,95.0,0.0,지케이에스,5000,2026-09-04,100,개
"알파연마디스크샌더빼빠@5""-8H#220",1200,100.0,120000.0,알파연마테크,3600,2026-09-04,100,개
"알파연마디스크샌더빼빠@5""-8H#80",0,130.0,0.0,알파연마테크,3600,2026-09-04,100,개
"알파연마디스크샌더빼빠@5""-8H#180",0,100.0,0.0,알파연마테크,3600,2026-09-04,100,개
"악티록스 디스크 AF799 #60 4""*16MM",3000,1700.0,5100000.0,알파연마테크,3000,2026-09-04,100,개
벨로체 연마석 @ 4인치*6t,255,360.0,91800.0,(주)수보,2855,2026-09-04,100,개
"3M 절단석 65147(큐) @ 4""*1.0t*16mm",1900,2400.0,4560000.0,효인,1900,2026-09-04,100,개
"악티록스 백업패드 @ 4""",1893,620.0,1173660.0,(주)수보,1896,2026-09-04,100,개
"TU-FLEX 옵셋 #80 @ 4""*2T*16MM",1839,650.0,1195350.0,대영 종합상사,1839,2026-09-04,100,개
다존 블랙 KF94 마스크,1650,118.0,194700.0,지케이에스,1650,2026-09-04,100,개
위머스트 KF94마스크,1400,95.0,133000.0,지케이에스,1400,2026-09-04,100,개
스포르팅 절단석 @ 5인치 * 16MM,100,500.0,50000.0,강일GTC,1300,2026-09-04,100,개
"티롤릿 옵셋 #80 @ 4""*2.7T",1291,620.0,800420.0,리오더웨어하우스주식회사,1291,2026-09-04,100,개
"알파연마디스크샌더빼빠 @ 4""-#60",0,90.0,0.0,알파연마테크,1200,2026-09-04,100,개
"레즈본 R&B절단석 @ 5""",0,500.0,0.0,한국레즈본,1200,2026-09-04,100,개
"알파연마디스크샌더빼빠@5""-8H#120",0,100.0,0.0,알파연마테크,1200,2026-09-04,100,개
"레즈본 절단석 R&B 블랙 @ 5""",0,500.0,0.0,한국레즈본,1200,2026-09-04,100,개
"렉스톨킹 절단석 @ 4""*16MM",1170,550.0,643500.0,박재환,1170,2026-09-04,100,개
"3M 절단석 47420(큐3) @ 5""*1.0t*15.88mm",2,3450.0,6900.0,효인,1150,2026-09-04,100,개
노튼 블루파이어절단석 @ 4인치*1.2T*16,1075,480.0,516000.0,,1075,2026-09-04,100,개
"뉴 레즈본2 절단석 @ 5""",1400,500.0,700000.0,한국레즈본,1070,2026-09-04,100,개
"티롤릿 옵셋 #60 @ 4""*2.7T",1064,620.0,659680.0,리오더웨어하우스주식회사,1064,2026-09-04,100,개
"TU-FLEX 옵셋 #36 @ 4""*3T*16MM",1009,650.0,655850.0,TU글로벌,1009,2026-09-04,100,개
"노튼 블루파이어 절단석 @ 4""*1.2t",1000,0.0,0.0,,1000,2026-09-04,100,개
"홈툴즈 절단석 @ 4""",500,240.0,120000.0,홈툴즈,1000,2026-09-04,100,개
휘 KF94 황사방역마스크,1000,,,지케이에스,1000,2026-09-04,100,개
"페어드절단석(SG-E)@ 4"" *0.8T",1000,0.0,0.0,드림툴텍,1000,2026-09-04,100,개
"M3 2 절단석 @ 4""",870,400.0,348000.0,성진툴코리아,990,2026-09-04,100,개
"악티록스 백업패드 @ 5""",979,880.0,861520.0,(주)수보,979,2026-09-04,100,개
Jway KF94마스크,850,91.0,77350.0,지케이에스,850,2026-09-04,100,개
"M3 2 절단석 @ 5""",900,800.0,720000.0,성진툴코리아,830,2026-09-04,100,개
"클링스포 절단석 @ 4""",792,1500.0,1188000.0,석문종합철물공구안전,817,2026-09-04,100,개
"제일 연마석 흑돌 @ 4""*3T",0,410.0,0.0,제일연마영업소,800,2026-09-04,100,개
"TU-FLEX 옵셋 #60 @ 4""*3T*16MM",800,,,TU글로벌,800,2026-09-04,100,개
"페가텍 절단석 @ 4""",800,0.0,0.0,유영찬,800,2026-09-04,100,개
퓨어라이프 새부리블랙 KF94,0,230.0,0.0,지케이에스,800,2026-09-04,100,개
3M 귀마개 1100,800,140.0,112000.0,ITS,800,2026-09-04,100,개
"뉴 레즈본2 절단석 @ 4""",200,400.0,80000.0,한국레즈본,750,2026-09-04,100,개
SAM 14인치 절단석 @ 355*3.0*25.4,2025,1800.0,3645000.0,삼양연마공업(주),685,2026-09-04,100,개
제이투메카 KF94마스크,650,0.0,0.0,지케이에스,650,2026-09-04,100,개
애니가드 마스크(2급)*VC202V 밸브유,600,480.0,288000.0,제일연마영업소,600,2026-09-04,100,개
"본드플렉스 절단석 @ 5""",600,330.0,198000.0,서전MJ,600,2026-09-04,100,개
볼케이노 절단석@소프트타입 5인치,0,600.0,0.0,CM최민상사,600,2026-09-04,100,개
"3M 절단석 01994(new) @ 4""",100,2100.0,210000.0,(주)한국기업,600,2026-09-04,100,개
"티롤릿 절단석 레드 @ 4""",600,750.0,450000.0,티롤릿코리아,600,2026-09-04,100,개
오아시스절단석 @ 4인치,600,305.0,183000.0,비원,600,2026-09-04,100,개
"레즈본 절단석 R&B 블랙 @ 4""",0,420.0,0.0,한국레즈본,600,2026-09-04,100,개
"피닉스 절단석 @ 4""",0,500.0,0.0,(주)컷팅코리아,600,2026-09-04,100,개
"대광연마 @ 5""",0,550.0,0.0,유영찬,600,2026-09-04,100,개
디펜코 블랙 덴탈마스크,600,70.0,42000.0,지케이에스,600,2026-09-04,100,개
"악티록스 디스크 AF799 #60 4""*16MM50장곽",600,1150.0,690000.0,알파연마테크,600,2026-09-04,100,개
"레즈본 절단석 @ 4""",0,400.0,0.0,한국레즈본,600,2026-09-04,100,개
오아시스절단석 @ 5인치,0,380.0,0.0,비원,600,2026-09-04,100,개
"절단석 L MFC @ 4""*16MM",600,0.0,0.0,,600,2026-09-04,100,개
"3D 절단석 @ 4""*16MM",600,450.0,270000.0,문현동,600,2026-09-04,100,개
"페어드 절단석 @ 4""*0.8t",561,700.0,392700.0,(주)기흥툴링,561,2026-09-04,100,개
"베스트 절단석 @ 4""",550,250.0,137500.0,한신그레이스,550,2026-09-04,100,개
"티롤릿 절단석 (new)블루 @ 4""",-100,760.0,-76000.0,티롤릿코리아,550,2026-09-04,100,개
장갑 렉스톨 @ M,550,0.0,0.0,,550,2026-09-04,100,개
3M 컬러그립 그린 M,500,1470.0,735000.0,한신그레이스,500,2026-09-04,100,개
뉴엠 KF94마스크,500,90.0,45000.0,지케이에스,500,2026-09-04,100,개
3M 컬러그립 그린 @ L,500,1470.0,735000.0,한신그레이스,500,2026-09-04,100,개
"악티록스디스크(만조+패드)@4""*#36",134,17000.0,2278000.0,삼환,498,2026-09-04,100,개
3M 장갑 칼라그립 오렌지M,480,0.0,0.0,,480,2026-09-04,100,개
"TU 절단석 S 105501 @ 5""*16MM",450,1700.0,765000.0,TU글로벌,450,2026-09-04,100,개
퓨에어 KF94마스크,450,150.0,67500.0,지케이에스,450,2026-09-04,100,개
GMG 장갑 에어그립 KR-L2001A @ L,400,1562.0,624800.0,박재환,450,2026-09-04,100,개
GMG 장갑 에어그립 KR-L2001A @ M,389,1562.0,607618.0,박재환,429,2026-09-04,100,개
3M 장갑 칼라그립 오렌지L,420,0.0,0.0,,420,2026-09-04,100,개
장갑 렉스톨 @ L,412,0.0,0.0,,412,2026-09-04,100,개
"베스트 절단석 @ 5""",400,450.0,180000.0,한신그레이스,400,2026-09-04,100,개
"자르고 절단석 @ 4""*16MM",400,360.0,144000.0,대신산업,400,2026-09-04,100,개
"제일 절단석 WA @ 4""*1.8T",400,0.0,0.0,제일연마영업소,400,2026-09-04,100,개
"제일 연마석 WA O/S @ 4""*6T",800,560.0,448000.0,제일연마영업소,400,2026-09-04,100,개
"에이스 절단석 @ 16""",0,3200.0,0.0,(주)우리종합금속,400,2026-09-04,100,개
"3D골드 절단석 @ 5""*16MM",400,500.0,200000.0,대광교역,400,2026-09-04,100,개
"MD 절단석 @ 4""*16MM",400,500.0,200000.0,유재환,400,2026-09-04,100,개
"TU-PLUS 102501 @ 5""*16MM",400,1100.0,440000.0,TU글로벌,400,2026-09-04,100,개
"페어드 절단석 @ 4""",1000,600.0,600000.0,삼환,397,2026-09-04,100,개
"악티록스디스크(만조+패드)@4""*#60",245,13400.0,3283000.0,삼환,396,2026-09-04,100,개
"자르고 절단석 @ 7""",-10,900.0,-9000.0,강일GTC,390,2026-09-04,100,개
애니가드마스크@KF-AD(비말차단마스크),380,20.0,7600.0,제일연마영업소,380,2026-09-04,100,개
"제일 절단석 PS-GOLD@4""*1.2mm*15.8mm",350,0.0,0.0,,350,2026-09-04,100,개
3M 장갑 컴포트그립 슈퍼폼 @ L,300,1680.0,504000.0,한신그레이스,300,2026-09-04,100,개
"다이센 절단석 하드타입 @ 4""",280,350.0,98000.0,대영 종합상사,280,2026-09-04,100,개
"티롤릿 절단석 @ 7""",127,1600.0,203200.0,리오더웨어하우스주식회사,252,2026-09-04,100,개
"제일 절단석 흑돌 @ 14""",400,2000.0,800000.0,제일연마영업소,250,2026-09-04,100,개
"스틸포스 절단석 @ 5""",250,400.0,100000.0,툴홀릭,250,2026-09-04,100,개
"페어드 옵셑 4""*3T#36(250장)",250,700.0,175000.0,,250,2026-09-04,100,개
"티롤릿 절단석 레드 @ 5""",250,960.0,240000.0,티롤릿코리아,250,2026-09-04,100,개
"티롤릿 절단석 블루 @ 5""",700,960.0,672000.0,티롤릿코리아,250,2026-09-04,100,개
"베스트 절단석 @ 14""",1495,2000.0,2990000.0,한신그레이스,245,2026-09-04,100,개
"티롤릿 옵셋 #36 @ 4""*2.7T",242,620.0,150040.0,리오더웨어하우스주식회사,242,2026-09-04,100,개
3M 마스크 방진1급 @ 8922,240,1450.0,348000.0,ITS,240,2026-09-04,100,개
3M 마스크 방진2급 @ 8710L,0,470.0,0.0,ITS,240,2026-09-04,100,개
