품목코드,품목명,카테고리,규격,매입단가,판매단가,거래횟수,사용여부
P-0001,"다이센 절단석 하드타입 @ 5""",절단석,"5""",0.0,1300.0,2033,활성
P-0002,"아카시 절단석 프리미엄 @ 5""*16MM",절단석,"5""*16MM",1200.0,1000.0,1119,활성
P-0003,"다이센 절단석 하드타입 @ 4""",절단석,"4""",900.0,1000.0,972,활성
P-0004,"제일 절단석 흑돌 @ 14""",절단석,"14""",2600.0,2200.0,889,활성
P-0005,"티롤릿 절단석 블루 @ 5""",절단석,"5""",1600.0,1900.0,828,활성
P-0006,"3M 절단석 01994(new) @ 4""",절단석,"4""",2149.0,2200.0,806,활성
P-0007,"3M 절단석 프리미엄 @ 14""",절단석,"14""",6000.0,4800.0,750,활성
P-0008,수당,기타,,,0.0,736,활성
P-0009,"3M 절단석 65139(큐) @ 5""",절단석,"5""",3650.0,3400.0,676,비활성
P-0010,"티롤릿 절단석 @ 14""",절단석,"14""",3200.0,3300.0,619,활성
P-0011,"베스트 절단석 @ 14""",절단석,"14""",2100.0,2080.0,613,활성
P-0012,"아카시 절단석 프리미엄 @ 4""*16MM",절단석,"4""*16MM",1000.0,1000.0,533,활성
P-0013,"M3 2 절단석 @ 5""",절단석,"5""",700.0,800.0,530,활성
P-0014,"뉴 레즈본2 절단석 @ 5""",절단석,"5""",620.0,900.0,487,활성
P-0015,"다이센 소프트타입 @ 5""",기타,"5""",650.0,600.0,478,활성
P-0016,"페어드 절단석 @ 5""",절단석,"5""",1750.0,1500.0,444,활성
P-0017,"다잘라컷팅날 @ 4""",절단석,"4""",8000.0,9000.0,442,활성
P-0018,"다잘라컷팅날 @ 5""",절단석,"5""",9000.0,10000.0,431,활성
P-0019,"레즈본2 절단석 @ 5""",절단석,"5""",900.0,800.0,390,비활성
P-0020,택배비,기타,,5000.0,5000.0,379,활성
P-0021,3M 장갑 수퍼그립200 @ L,안전용품,L,1750.0,1500.0,341,활성
P-0022,"티롤릿 절단석 (new)블루 @ 4""",절단석,"4""",1300.0,1200.0,314,활성
P-0023,"M3 2 절단석 @ 4""",절단석,"4""",500.0,500.0,307,활성
P-0024,"티롤릿 절단석 블루 @ 4""",절단석,"4""",1300.0,1400.0,302,비활성
P-0025,"페어드 절단석 @ 4""",절단석,"4""",1200.0,950.0,301,활성
P-0026,TURBO Premium 절단석 @ 5인치,절단석,5인치,650.0,800.0,290,활성
P-0027,"아카시 절단석 칸 @ 5""*16MM",절단석,"5""*16MM",700.0,1000.0,285,활성
P-0028,3M 마스크 방진1급 @ 8822,기타,8822,1300.0,1200.0,274,활성
P-0029,"뉴 레즈본2 절단석 @ 4""",절단석,"4""",520.0,500.0,266,활성
P-0030,"레즈본2 절단석 @ 4""",절단석,"4""",500.0,700.0,263,비활성
P-0031,3M 장갑 수퍼그립200 @ M,안전용품,M,1750.0,1570.0,260,활성
P-0032,"티롤릿 터보날 타일용 @ 4""",기타,"4""",5000.0,4000.0,244,활성
P-0033,"베스트 절단석 @ 4""",절단석,"4""",500.0,500.0,241,비활성
P-0034,"티롤릿 절단석 실버 @ 5""",절단석,"5""",1600.0,1600.0,220,활성
P-0035,"티롤릿 마른날 콘크리트용 @4""",기타,"4""",6600.0,5000.0,208,활성
P-0036,"3M 절단석 보급형 @ 14""",절단석,"14""",2250.0,1900.0,206,비활성
P-0037,계양 그라인더 @ ACT-100SN,공구,ACT-100SN,46222.0,44000.0,204,활성
P-0038,"베스트 절단석 @ 5""",절단석,"5""",,500.0,204,활성
P-0039,"악티록스디스크(만조+패드)@4""*#36",연마재,"4""*#36",17000.0,23000.0,200,활성
P-0040,"제일 연마석 흑돌 @ 4""*6T",연마재,"4""*6T",560.0,450.0,190,활성
